"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Great article featuring Green MP @EugenieSage  
https://t.co/81XXEh6rnx",FALSE,18,NA,2023-02-16 00:35:52,FALSE,NA,"1626017481319141382",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",5,FALSE,FALSE,NA,NA
"2","#MustWatch this emotional speech from Greens co-leader @jamespeshaw in the House today. 

“I don’t think I’ve ever… https://t.co/YcdsVzpTcX",FALSE,1094,NA,2023-02-14 02:57:53,TRUE,NA,"1625328448402235392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",277,FALSE,FALSE,NA,NA
"3","#BREAKING The Green Party is today calling on the Government to double the maximum Civil Defence Payment for Auckla… https://t.co/UcKHWBX5NS",FALSE,37,NA,2023-02-07 21:48:57,TRUE,NA,"1623076372733399049",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",9,FALSE,FALSE,NA,NA
"4","Greens co-leader @MaramaDavidson with some strong words for the National Party at Waitangi Treaty Grounds earlier t… https://t.co/8gcfP91OQ5",FALSE,405,NA,2023-02-05 06:50:02,TRUE,NA,"1622125379669614597",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",78,FALSE,FALSE,NA,NA
"5","https://t.co/VlZgX2Ikpc",FALSE,48,NA,2023-02-04 02:05:18,FALSE,NA,"1621691333298749440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",11,FALSE,FALSE,NA,NA
"6","https://t.co/r6uHSSOPoY",FALSE,52,NA,2023-02-03 22:39:37,FALSE,NA,"1621639571242098689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",17,FALSE,FALSE,NA,NA
"7","https://t.co/NDnKaGMX3O",FALSE,23,NA,2023-02-03 22:38:55,FALSE,NA,"1621639396213788672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",7,FALSE,FALSE,NA,NA
"8","https://t.co/UdwMBKvHeJ https://t.co/kl4l7W7oPN",FALSE,17,NA,2023-02-03 22:37:06,FALSE,NA,"1621638938355208192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",2,FALSE,FALSE,NA,NA
"9","https://t.co/QkyIj9xUSS

https://t.co/udCunQ8Uve",FALSE,54,"NZGreens",2023-02-02 18:47:08,FALSE,"1621218678313484289","1621218680217698304","20424235","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",11,FALSE,FALSE,NA,NA
"10","""Poverty is a political choice. We implore the Govt to use their power to freeze rents, like many of the grassroots… https://t.co/14egj2jJUe",FALSE,142,"NZGreens",2023-02-02 18:47:08,TRUE,"1621218676346327040","1621218678313484289","20424235","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",23,FALSE,FALSE,NA,NA
"11","#BREAKING The Green Party is joining more than 20 community organisations to call for an immediate rent freeze in T… https://t.co/d3NJ85wuTR",FALSE,788,NA,2023-02-02 18:47:07,TRUE,NA,"1621218676346327040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",124,FALSE,FALSE,NA,NA
"12","For the cost of one year of the fuel tax cut, the Govt could have bought a free e-bike for every uni &amp; high school… https://t.co/LIceyKVcGH",FALSE,409,NA,2023-02-01 07:12:57,TRUE,NA,"1620681593215131651",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",65,FALSE,FALSE,NA,NA
"13","It’s clear that we will be living with the infection for many years to come. 

Focus must be on slowing the spread… https://t.co/G4JHc2O2SP",FALSE,147,"NZGreens",2023-01-31 06:04:19,TRUE,"1620301929531449346","1620301932647809025","20424235","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",27,FALSE,FALSE,NA,NA
"14","It’s critically important that the new Health Minister does not lose sight of our COVID response.

The pandemic is… https://t.co/4EOP6lxL9j",FALSE,486,NA,2023-01-31 06:04:18,TRUE,NA,"1620301929531449346",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",94,FALSE,FALSE,NA,NA
"15","This is what climate change looks like. The solutions are the same as they always have been, and they are more urge… https://t.co/anviuXYYji",FALSE,862,NA,2023-01-30 02:20:59,TRUE,NA,"1619883343516160000",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",167,FALSE,FALSE,NA,NA
"16","https://t.co/bV2n1cJhZm",FALSE,1294,NA,2023-01-28 07:01:29,FALSE,NA,"1619229155912208384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",292,FALSE,FALSE,NA,NA
"17","<U+0001F914> https://t.co/b47OWhIfVQ",FALSE,401,NA,2023-01-26 00:28:43,FALSE,NA,"1618405537766600705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",53,FALSE,FALSE,NA,NA
"18","https://t.co/56ub4cMfg2",FALSE,10,"NZGreens",2023-01-25 05:45:36,FALSE,"1618122107975790592","1618122895720599557","20424235","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",2,FALSE,FALSE,NA,NA
"19","Kia ora &amp; congrats Chris. Let's get to work. <U+2705>

https://t.co/JNjVO7J1W1 https://t.co/ho7wj2Csyz",FALSE,85,NA,2023-01-25 05:42:28,FALSE,NA,"1618122107975790592",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",9,FALSE,FALSE,NA,NA
"20","Full Green Party statement here:

https://t.co/v31t7fbbe1 https://t.co/LLERGb5CG5",FALSE,638,NA,2023-01-19 01:51:44,FALSE,NA,"1615889714397212672",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",84,FALSE,FALSE,NA,NA
"21","MSD needs to wipe dental debt (and ensure people are not getting into debt in the first place!) @RMarchNZ https://t.co/AxWqCDqUJN",FALSE,79,"NZGreens",2023-01-05 06:14:56,FALSE,"1610882518378741761","1610882521717428224","20424235","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",10,FALSE,FALSE,NA,NA
"22","New data reveals in the past four years more than $110 million dollars has been loaned from MSD to cover dental bil… https://t.co/RXOE0Arjx2",FALSE,325,NA,2023-01-05 06:14:55,TRUE,NA,"1610882518378741761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZGreens",54,FALSE,FALSE,NA,NA
"23","In addition to public health messaging, as a minimum the Govt also needs to be able to guarantee clean air inside b… https://t.co/b1lCsNjk9o",FALSE,116,"NZGreens",2022-12-19 03:27:28,TRUE,"1604679781702070272","1604679783400759296","20424235","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",27,FALSE,FALSE,NA,NA
"24","Last week 42,740 new cases of COVID-19 were reported, 64 people have died, &amp; nearly 600 people are currently in hos… https://t.co/nfNvQ8L2SL",FALSE,122,"NZGreens",2022-12-19 03:27:28,TRUE,"1604679780041117697","1604679781702070272","20424235","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",22,FALSE,FALSE,NA,NA
"25","We need to make it clear and understandable again the simple steps people can take to keep others safe. 

Everywher… https://t.co/VqoGZcQvIG",FALSE,103,"NZGreens",2022-12-19 03:27:27,TRUE,"1604679778334040064","1604679780041117697","20424235","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",14,FALSE,FALSE,NA,NA
"26","“Right now, the Government should be gearing up for a massive summer COVID communications campaign, not just sendin… https://t.co/aoKWSlc6uG",FALSE,328,NA,2022-12-19 03:27:27,TRUE,NA,"1604679778334040064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",67,FALSE,FALSE,NA,NA
"27","Good. https://t.co/GrUvX4SYn4",FALSE,85,NA,2022-12-15 00:48:12,FALSE,NA,"1603190149214797824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",5,FALSE,FALSE,NA,NA
"28","Accurate. 
https://t.co/GjjntqiP5s",FALSE,41,NA,2022-12-14 21:42:32,FALSE,NA,"1603143427243532288",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",6,FALSE,FALSE,NA,NA
"29","From @golrizghahraman @janlogie @EKerekere 
https://t.co/83UFqotVdH",FALSE,16,"NZGreens",2022-12-14 07:12:45,FALSE,"1602924536038854656","1602924537863372801","20424235","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",3,FALSE,FALSE,NA,NA
"30","The Govt’s proposed hate speech Bill fails to include changes that would protect women, rainbow, &amp; disability commu… https://t.co/fMR8tDBYBw",FALSE,103,NA,2022-12-14 07:12:44,TRUE,NA,"1602924536038854656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",15,FALSE,FALSE,NA,NA
"31","Our Free Fares petition is almost at 15,000 signatures! Sign &amp; Share now. https://t.co/fw6qRNSRLv",FALSE,23,"NZGreens",2022-12-14 02:01:45,FALSE,"1602846270233903105","1602846273672970240","20424235","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",10,FALSE,FALSE,NA,NA
"32","The Govt has confirmed half price fares will end in March 2023. <U+0001F611>

Ending half price fares is a political choice -… https://t.co/54EwTPK587",FALSE,306,NA,2022-12-14 02:01:44,TRUE,NA,"1602846270233903105",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",45,FALSE,FALSE,NA,NA
"33","Part 2 would phase out alcohol sponsorship in broadcast sport. The Govt has proven they’ll change the law when the… https://t.co/pEFklkuOGh",FALSE,25,"NZGreens",2022-12-08 19:25:28,TRUE,"1600934602356715520","1600934604088938496","20424235","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",4,FALSE,FALSE,NA,NA
"34","TO RECAP- the Govt is effectively adopting Pt 1 of @_chloeswarbrick's Alcohol Harm Minimisation Bill w/ their own b… https://t.co/6AwrzBzxyv",FALSE,41,NA,2022-12-08 19:25:27,TRUE,NA,"1600934602356715520",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZGreens",9,FALSE,FALSE,NA,NA
