"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","https://t.co/iWtWrIJCwL",FALSE,15,"NZNationalParty",2023-02-01 05:10:37,FALSE,"1620650794210172928","1620650807778754560","18996642","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZNationalParty",0,FALSE,FALSE,NA,NA
"2","Congratulations Tama Potaka for becoming the new MP for Hamilton West! https://t.co/Nd5Gujd2fo",FALSE,422,NA,2022-12-10 08:00:10,FALSE,NA,"1601486921553055744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZNationalParty",36,FALSE,FALSE,NA,NA
"3","National’s latest plan will combat youth offenders and reduce ram raids in New Zealand. https://t.co/PXiEDwKbeI",FALSE,325,NA,2022-11-16 22:04:21,FALSE,NA,"1593002057593950208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZNationalParty",41,FALSE,FALSE,NA,NA
"4","Almost 20,000 Kiwis voted in the first 24 hours on what has been Labour’s biggest fail. 
Vote here:… https://t.co/B2WsLJ6jZD",FALSE,74,NA,2022-10-26 20:24:48,TRUE,NA,"1585366859498815488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZNationalParty",21,FALSE,FALSE,NA,NA
"5","<U+0001F6A8>More than 20,000 Kiwis have already signed our petition to stop Labour’s Jobs Tax. This latest tax would take $834… https://t.co/7yvf0ftrrX",FALSE,63,NA,2022-09-29 01:44:40,TRUE,NA,"1575300496109187073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZNationalParty",16,FALSE,FALSE,NA,NA
"6","In less than 10 hours, over 10,000 Kiwis have made it clear they don’t want Labour’s latest tax grab: the Jobs Tax,… https://t.co/hL9KCbextp",FALSE,134,NA,2022-09-27 07:00:40,TRUE,NA,"1574655243928760320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZNationalParty",29,FALSE,FALSE,NA,NA
"7","This morning at Parliament, @chrisluxonmp signed the book of condolences for Her Majesty Queen Elizabeth II, thanki… https://t.co/ypAOuVSM3g",FALSE,96,NA,2022-09-11 02:16:11,TRUE,NA,"1568785445106110465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZNationalParty",6,FALSE,FALSE,NA,NA
"8","Sign our petition to reverse Labour’s tenant tax. Labour campaigned on “no new taxes” but straight after the 2020 e… https://t.co/fwIZc4IlJq",FALSE,85,NA,2022-08-21 08:15:43,TRUE,NA,"1561265779386896384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZNationalParty",23,FALSE,FALSE,NA,NA
"9","<U+0001F6D1> Help us stop Labour from banning school drop-offs and pick-ups without consultation in its 'Reshaping Streets' pr… https://t.co/jwhL2rrD5X",FALSE,85,NA,2022-08-18 23:38:03,TRUE,NA,"1560410730348036096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NZNationalParty",20,FALSE,FALSE,NA,NA
"10","Labour’s wasteful spending and economic mismanagement are driving up prices <U+0001F4C8> #costoflivingcrisis https://t.co/t4z9repxSR",FALSE,86,NA,2022-08-15 05:01:30,FALSE,NA,"1559042578028191744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NZNationalParty",21,FALSE,FALSE,NA,NA
