"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#UPDATE: Auckland flood support <U+2935> https://t.co/C1g3gw7h8O",FALSE,68,NA,2023-01-30 04:15:20,FALSE,NA,"1619912121722212353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",21,FALSE,FALSE,NA,NA
"2","Make sure to tune in to our Facebook page at 10:30 this morning to catch @grantrobertson1's 2022 Labour Party Confe… https://t.co/GGNnr06swF",FALSE,32,NA,2022-11-04 20:30:46,TRUE,NA,"1588629850637864960",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",5,FALSE,FALSE,NA,NA
"3","We've just announced a massive infrastructure investment to kick-start new housing developments across New Zealand.… https://t.co/AH6FvzQbY0",FALSE,32,NA,2022-10-14 04:42:33,TRUE,NA,"1580781077513195520",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",12,FALSE,FALSE,NA,NA
"4","Read more above, or head here to see the actions we're taking to protect Aotearoa's environment: https://t.co/oyhGumnNaK",FALSE,12,"nzlabour",2022-10-04 03:30:54,FALSE,"1577139166705782785","1577139168823869440","15466126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",3,FALSE,FALSE,NA,NA
"5","As part of our commitment to protecting our environment for future generations, we've phased out more problematic p… https://t.co/YzSSNfq74x",FALSE,45,NA,2022-10-04 03:30:53,TRUE,NA,"1577139166705782785",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",5,FALSE,FALSE,NA,NA
"6","For more info on local elections and how to vote, head to: https://t.co/9MKlNi9L6n",FALSE,2,"nzlabour",2022-10-04 01:07:12,FALSE,"1577103001524744195","1577103005744185345","15466126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",0,FALSE,FALSE,NA,NA
"7","Today's the last day to post your voting papers for this year's local elections <U+0001F4EE>

If you're not able to post your… https://t.co/NhtW2HYB7b",FALSE,22,NA,2022-10-04 01:07:11,TRUE,NA,"1577103001524744195",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",6,FALSE,FALSE,NA,NA
"8","We know there's still more to do, but we’re taking action to turn things around. Read more above, or head to: https://t.co/p3DCmrRnpE",FALSE,21,"nzlabour",2022-10-03 19:50:38,FALSE,"1577023335677931521","1577023338056032256","15466126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",3,FALSE,FALSE,NA,NA
"9","With 10,328 public homes added to New Zealand’s stock since we were elected in 2017, we're making strong progress o… https://t.co/rFrDmRV5lV",FALSE,43,NA,2022-10-03 19:50:37,TRUE,NA,"1577023335677931521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",9,FALSE,FALSE,NA,NA
"10","This week, the PM has been in New York for a jam-packed few days at the United Nations General Assembly. Here's a w… https://t.co/rhMKtn5tFX",FALSE,305,NA,2022-09-24 05:57:54,TRUE,NA,"1573552285304737793",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","nzlabour",53,FALSE,FALSE,NA,NA
"11","You can find the Prime Minister's speech here: https://t.co/KLb4dBeRcI",FALSE,28,"nzlabour",2022-09-24 01:44:08,FALSE,"1573488418642071558","1573488423515848704","15466126","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nzlabour",5,FALSE,FALSE,NA,NA
"12","Earlier today, @jacindaardern delivered her speech to the United Nations General Assembly. 

In it she spoke about… https://t.co/76Gb3nxbXh",FALSE,264,NA,2022-09-24 01:44:07,TRUE,NA,"1573488418642071558",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nzlabour",33,FALSE,FALSE,NA,NA
"13","@jacindaardern <U+0001F5E3><U+FE0F>: ""None of us are here because we have given up, but because we believe there is a way to change t… https://t.co/Bh7q8yL9Qo",FALSE,20,"nzlabour",2022-09-22 05:25:52,TRUE,"1572819444883021824","1572819447228006402","15466126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",6,FALSE,FALSE,NA,NA
"14","As part of Jacinda Ardern's trip to the US, she spoke at the Earthshot Prize Innovation Summit about the global env… https://t.co/B6c9hgIbTN",FALSE,69,NA,2022-09-22 05:25:51,TRUE,NA,"1572819444883021824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",13,FALSE,FALSE,NA,NA
"15","(3/3) As we move forward, our focus continues to be supporting businesses to create jobs and grow wages, while tack… https://t.co/U1dq4r9dDY",FALSE,26,"nzlabour",2022-09-20 21:24:35,TRUE,"1572335940198363139","1572335942073200640","15466126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",2,FALSE,FALSE,NA,NA
"16","(2/3) The country’s debt is low, GDP is up, our exports are in demand, and we’re seeing more people in work, with higher wages.",FALSE,21,"nzlabour",2022-09-20 21:24:35,FALSE,"1572335935450411010","1572335940198363139","15466126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",3,FALSE,FALSE,NA,NA
"17","(1/3) Thanks to the Government’s strong economic management, and the hard work of New Zealanders, our economy has p… https://t.co/uSZqtdaLz9",FALSE,91,NA,2022-09-20 21:24:34,TRUE,NA,"1572335935450411010",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",16,FALSE,FALSE,NA,NA
"18","We're in a good position to continue to support Kiwis, and take advantage of the opportunities ahead.

Read more ab… https://t.co/ritywn9ikG",FALSE,39,"nzlabour",2022-09-15 21:16:32,TRUE,"1570521974413340672","1570521976661483524","15466126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",7,FALSE,FALSE,NA,NA
"19","The latest figures show our economy is growing faster than many other countries'.

More people are in work, exports… https://t.co/xeuEecXvMX",FALSE,98,NA,2022-09-15 21:16:32,TRUE,NA,"1570521974413340672",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",25,FALSE,FALSE,NA,NA
"20","• All New Zealanders aged 65 and over, and Maori and Pacific peoples aged 50 and over will have automatic access to… https://t.co/79fD2jsnVq",FALSE,20,"nzlabour",2022-09-12 04:46:10,TRUE,"1569185574401220608","1569185576934588416","15466126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nzlabour",3,FALSE,FALSE,NA,NA
